epoch:0 train_loss:0.08404548466205597 test_acc:0.0016 test_loss:0.16532059013843536
epoch:1 train_loss:0.06490059196949005 test_acc:0.0138 test_loss:0.10701463371515274
epoch:2 train_loss:0.05877881497144699 test_acc:0.0414 test_loss:0.1130300909280777
epoch:3 train_loss:0.05232810229063034 test_acc:0.064 test_loss:0.09911169111728668
epoch:4 train_loss:0.046370729804039 test_acc:0.0656 test_loss:0.11027846485376358
epoch:5 train_loss:0.05087227001786232 test_acc:0.1158 test_loss:0.10777781158685684
epoch:6 train_loss:0.049835748970508575 test_acc:0.1926 test_loss:0.12197676301002502
epoch:7 train_loss:0.03962034359574318 test_acc:0.1474 test_loss:0.08768577128648758
epoch:8 train_loss:0.0363907590508461 test_acc:0.2004 test_loss:0.04674289748072624
epoch:9 train_loss:0.033453408628702164 test_acc:0.2412 test_loss:0.04577485844492912
epoch:10 train_loss:0.036067187786102295 test_acc:0.3216 test_loss:0.07191062718629837
epoch:11 train_loss:0.030000513419508934 test_acc:0.295 test_loss:0.07609725743532181
epoch:12 train_loss:0.031804896891117096 test_acc:0.333 test_loss:0.052104055881500244
epoch:13 train_loss:0.03128954395651817 test_acc:0.3446 test_loss:0.043625038117170334
epoch:14 train_loss:0.021715592592954636 test_acc:0.4238 test_loss:0.06833169609308243
epoch:15 train_loss:0.025400560349225998 test_acc:0.4558 test_loss:0.07064896076917648
epoch:16 train_loss:0.028613921254873276 test_acc:0.4248 test_loss:0.05104101449251175
epoch:17 train_loss:0.025639129802584648 test_acc:0.484 test_loss:0.07210982590913773
epoch:18 train_loss:0.033981192857027054 test_acc:0.5286 test_loss:0.02775506116449833
epoch:19 train_loss:0.026914149522781372 test_acc:0.536 test_loss:0.07760825753211975
epoch:20 train_loss:0.015441895462572575 test_acc:0.5464 test_loss:0.06581519544124603
epoch:21 train_loss:0.02201705053448677 test_acc:0.5442 test_loss:0.02936169132590294
epoch:22 train_loss:0.019371915608644485 test_acc:0.6072 test_loss:0.018144313246011734
epoch:23 train_loss:0.0181838721036911 test_acc:0.6044 test_loss:0.017077572643756866
epoch:24 train_loss:0.022402696311473846 test_acc:0.6556 test_loss:0.01729542762041092
epoch:25 train_loss:0.01764194294810295 test_acc:0.6628 test_loss:0.055668242275714874
epoch:26 train_loss:0.022469481453299522 test_acc:0.6686 test_loss:0.009145564399659634
epoch:27 train_loss:0.014963354915380478 test_acc:0.6798 test_loss:0.028681209310889244
epoch:28 train_loss:0.014200514182448387 test_acc:0.6498 test_loss:0.03414628654718399
epoch:29 train_loss:0.018542952835559845 test_acc:0.6912 test_loss:0.03311000391840935
epoch:30 train_loss:0.017051510512828827 test_acc:0.7092 test_loss:0.02894618734717369
epoch:31 train_loss:0.018608294427394867 test_acc:0.6928 test_loss:0.009438976645469666
epoch:32 train_loss:0.015295956283807755 test_acc:0.706 test_loss:0.014005336910486221
epoch:33 train_loss:0.015168856829404831 test_acc:0.7486 test_loss:0.01830977201461792
epoch:34 train_loss:0.014622027985751629 test_acc:0.6694 test_loss:0.0067888423800468445
epoch:35 train_loss:0.014074143022298813 test_acc:0.751 test_loss:0.012195787392556667
epoch:36 train_loss:0.013513888232409954 test_acc:0.7456 test_loss:0.011304802261292934
epoch:37 train_loss:0.01227456796914339 test_acc:0.748 test_loss:0.017391854897141457
epoch:38 train_loss:0.013163797557353973 test_acc:0.7128 test_loss:0.030337704345583916
epoch:39 train_loss:0.01169896125793457 test_acc:0.7556 test_loss:0.011923757381737232
epoch:40 train_loss:0.010069571435451508 test_acc:0.7514 test_loss:0.0092910872772336
epoch:41 train_loss:0.01729469932615757 test_acc:0.7222 test_loss:0.04505740851163864
epoch:42 train_loss:0.006618374027311802 test_acc:0.7232 test_loss:0.0354696586728096
epoch:43 train_loss:0.019098686054348946 test_acc:0.7442 test_loss:0.009288927540183067
epoch:44 train_loss:0.01183468010276556 test_acc:0.7662 test_loss:0.010158738121390343
epoch:45 train_loss:0.012834334746003151 test_acc:0.7564 test_loss:0.009351106360554695
epoch:46 train_loss:0.0192115418612957 test_acc:0.7524 test_loss:0.01028803177177906
epoch:47 train_loss:0.012808766216039658 test_acc:0.7372 test_loss:0.03789302334189415
epoch:48 train_loss:0.011418618261814117 test_acc:0.7682 test_loss:0.009816551581025124
epoch:49 train_loss:0.012531098909676075 test_acc:0.7888 test_loss:0.03377972170710564
epoch:50 train_loss:0.010484039783477783 test_acc:0.7842 test_loss:0.01594080962240696
epoch:51 train_loss:0.012948581017553806 test_acc:0.7718 test_loss:0.013402392156422138
epoch:52 train_loss:0.011085465550422668 test_acc:0.782 test_loss:0.013628912158310413
