epoch:0 train_loss:0.09224553406238556 test_acc:0.019 test_loss:0.18932580947875977
epoch:1 train_loss:0.07236061990261078 test_acc:0.043 test_loss:0.14435207843780518
epoch:2 train_loss:0.06430154293775558 test_acc:0.0602 test_loss:0.09746752679347992
epoch:3 train_loss:0.06339757889509201 test_acc:0.0938 test_loss:0.09385693073272705
epoch:4 train_loss:0.054849304258823395 test_acc:0.0652 test_loss:0.1087062880396843
epoch:5 train_loss:0.05082161724567413 test_acc:0.1364 test_loss:0.1429055631160736
epoch:6 train_loss:0.05224739760160446 test_acc:0.1898 test_loss:0.1192205473780632
epoch:7 train_loss:0.04292936623096466 test_acc:0.2196 test_loss:0.06088627874851227
epoch:8 train_loss:0.04080286622047424 test_acc:0.3264 test_loss:0.07349850237369537
epoch:9 train_loss:0.040437422692775726 test_acc:0.3548 test_loss:0.09548381716012955
epoch:10 train_loss:0.03723766654729843 test_acc:0.4322 test_loss:0.0785740464925766
epoch:11 train_loss:0.03325308859348297 test_acc:0.4584 test_loss:0.06867986917495728
epoch:12 train_loss:0.028213806450366974 test_acc:0.4944 test_loss:0.0697653517127037
epoch:13 train_loss:0.031394459307193756 test_acc:0.526 test_loss:0.04929422214627266
epoch:14 train_loss:0.02984386309981346 test_acc:0.5098 test_loss:0.0911877229809761
epoch:15 train_loss:0.030882088467478752 test_acc:0.576 test_loss:0.1242314949631691
epoch:16 train_loss:0.026827886700630188 test_acc:0.5796 test_loss:0.05878090858459473
epoch:17 train_loss:0.029776738956570625 test_acc:0.591 test_loss:0.07491736114025116
epoch:18 train_loss:0.029153918847441673 test_acc:0.614 test_loss:0.051738347858190536
epoch:19 train_loss:0.02315979264676571 test_acc:0.6076 test_loss:0.06529640406370163
epoch:20 train_loss:0.027907859534025192 test_acc:0.6396 test_loss:0.055044542998075485
epoch:21 train_loss:0.02814372256398201 test_acc:0.6252 test_loss:0.019862575456500053
epoch:22 train_loss:0.018489044159650803 test_acc:0.6258 test_loss:0.02154451236128807
epoch:23 train_loss:0.02376159466803074 test_acc:0.67 test_loss:0.08802085369825363
epoch:24 train_loss:0.031006494536995888 test_acc:0.6404 test_loss:0.04230478033423424
epoch:25 train_loss:0.019801907241344452 test_acc:0.699 test_loss:0.06710301339626312
epoch:26 train_loss:0.019984038546681404 test_acc:0.6522 test_loss:0.027205578982830048
epoch:27 train_loss:0.023227158933877945 test_acc:0.712 test_loss:0.06628260761499405
epoch:28 train_loss:0.024476373568177223 test_acc:0.7034 test_loss:0.06795090436935425
epoch:29 train_loss:0.017396539449691772 test_acc:0.725 test_loss:0.018475491553544998
epoch:30 train_loss:0.019114064052700996 test_acc:0.7294 test_loss:0.016206448897719383
epoch:31 train_loss:0.018390733748674393 test_acc:0.6866 test_loss:0.03826768696308136
epoch:32 train_loss:0.023287083953619003 test_acc:0.72 test_loss:0.02093774452805519
epoch:33 train_loss:0.02118391916155815 test_acc:0.751 test_loss:0.05173589289188385
epoch:34 train_loss:0.023438837379217148 test_acc:0.7324 test_loss:0.04996955394744873
epoch:35 train_loss:0.01680520735681057 test_acc:0.733 test_loss:0.016831519082188606
epoch:36 train_loss:0.02360830456018448 test_acc:0.7604 test_loss:0.01795181818306446
epoch:37 train_loss:0.015056049451231956 test_acc:0.77 test_loss:0.0731109231710434
epoch:38 train_loss:0.018730074167251587 test_acc:0.7568 test_loss:0.026504749432206154
epoch:39 train_loss:0.017916139215230942 test_acc:0.7712 test_loss:0.01891031302511692
epoch:40 train_loss:0.013241585344076157 test_acc:0.7566 test_loss:0.047440215945243835
epoch:41 train_loss:0.015135781839489937 test_acc:0.7756 test_loss:0.01502247340977192
epoch:42 train_loss:0.01356731541454792 test_acc:0.7594 test_loss:0.029065238311886787
epoch:43 train_loss:0.012542014010250568 test_acc:0.7932 test_loss:0.018424667418003082
epoch:44 train_loss:0.014753220602869987 test_acc:0.786 test_loss:0.009935942478477955
epoch:45 train_loss:0.01286197267472744 test_acc:0.7892 test_loss:0.021792875602841377
epoch:46 train_loss:0.016246672719717026 test_acc:0.7978 test_loss:0.008565844036638737
epoch:47 train_loss:0.01265762560069561 test_acc:0.7954 test_loss:0.020730290561914444
epoch:48 train_loss:0.013851023279130459 test_acc:0.8008 test_loss:0.04776489734649658
epoch:49 train_loss:0.013013658113777637 test_acc:0.804 test_loss:0.025644131004810333
epoch:50 train_loss:0.013603000901639462 test_acc:0.811 test_loss:0.009667138569056988
epoch:51 train_loss:0.013729266822338104 test_acc:0.79 test_loss:0.006822122260928154
epoch:52 train_loss:0.011792052537202835 test_acc:0.7912 test_loss:0.013859647326171398
epoch:53 train_loss:0.011469435878098011 test_acc:0.8076 test_loss:0.02675805054605007
epoch:54 train_loss:0.011008242145180702 test_acc:0.8044 test_loss:0.017558880150318146
epoch:55 train_loss:0.010574081912636757 test_acc:0.8104 test_loss:0.002946307184174657
epoch:56 train_loss:0.01192234456539154 test_acc:0.8158 test_loss:0.029581256210803986
epoch:57 train_loss:0.008663253858685493 test_acc:0.8182 test_loss:0.08322130143642426
epoch:58 train_loss:0.01126103475689888 test_acc:0.802 test_loss:0.020646192133426666
epoch:59 train_loss:0.007906535640358925 test_acc:0.8086 test_loss:0.03773976117372513
epoch:60 train_loss:0.011911019682884216 test_acc:0.7856 test_loss:0.02920771948993206
epoch:61 train_loss:0.014984813518822193 test_acc:0.8044 test_loss:0.005871712230145931
epoch:62 train_loss:0.011984732002019882 test_acc:0.844 test_loss:0.008207092061638832
epoch:63 train_loss:0.012861380353569984 test_acc:0.816 test_loss:0.006245485041290522
epoch:64 train_loss:0.010320901870727539 test_acc:0.8258 test_loss:0.028635842725634575
epoch:65 train_loss:0.007760080508887768 test_acc:0.8196 test_loss:0.012226277031004429
epoch:66 train_loss:0.010059872642159462 test_acc:0.7992 test_loss:0.005099168978631496
epoch:67 train_loss:0.011681091040372849 test_acc:0.8218 test_loss:0.015475273132324219
epoch:68 train_loss:0.011070365086197853 test_acc:0.8148 test_loss:0.017145950347185135
epoch:69 train_loss:0.011825988069176674 test_acc:0.8224 test_loss:0.006241484545171261
epoch:70 train_loss:0.012267676182091236 test_acc:0.8264 test_loss:0.015302611514925957
epoch:71 train_loss:0.010231668129563332 test_acc:0.824 test_loss:0.011617022566497326
epoch:72 train_loss:0.011407253332436085 test_acc:0.817 test_loss:0.03991709277033806
epoch:73 train_loss:0.009306546300649643 test_acc:0.8222 test_loss:0.015818143263459206
epoch:74 train_loss:0.008273080922663212 test_acc:0.8066 test_loss:0.015828825533390045
epoch:75 train_loss:0.008752914145588875 test_acc:0.8312 test_loss:0.010513351298868656
epoch:76 train_loss:0.013708374463021755 test_acc:0.8314 test_loss:0.0018001004355028272
epoch:77 train_loss:0.01221398450434208 test_acc:0.8304 test_loss:0.027776848524808884
epoch:78 train_loss:0.011123765259981155 test_acc:0.8228 test_loss:0.013567354530096054
epoch:79 train_loss:0.008884357288479805 test_acc:0.8238 test_loss:0.02627592720091343
epoch:80 train_loss:0.013852111995220184 test_acc:0.8302 test_loss:0.01680188812315464
epoch:81 train_loss:0.006930720992386341 test_acc:0.8178 test_loss:0.026642143726348877
epoch:82 train_loss:0.005007862113416195 test_acc:0.8174 test_loss:0.01663067936897278
epoch:83 train_loss:0.009040171280503273 test_acc:0.8236 test_loss:0.02625230886042118
epoch:84 train_loss:0.007490271236747503 test_acc:0.8228 test_loss:0.005191951058804989
epoch:85 train_loss:0.012708901427686214 test_acc:0.8282 test_loss:0.011721710674464703
epoch:86 train_loss:0.007812697440385818 test_acc:0.8286 test_loss:0.004875685088336468
epoch:87 train_loss:0.010403803549706936 test_acc:0.8238 test_loss:0.0086602121591568
epoch:88 train_loss:0.008821197785437107 test_acc:0.8224 test_loss:0.005382813047617674
epoch:89 train_loss:0.006876266095787287 test_acc:0.8328 test_loss:0.008037595078349113
epoch:90 train_loss:0.01153077557682991 test_acc:0.83 test_loss:0.003499382408335805
epoch:91 train_loss:0.01373316254466772 test_acc:0.8312 test_loss:0.009288189001381397
epoch:92 train_loss:0.009906708262860775 test_acc:0.8486 test_loss:0.018688999116420746
epoch:93 train_loss:0.008933067321777344 test_acc:0.8364 test_loss:0.012519093230366707
epoch:94 train_loss:0.00860959105193615 test_acc:0.8368 test_loss:0.006453019101172686
epoch:95 train_loss:0.00853822659701109 test_acc:0.8182 test_loss:0.012801170349121094
epoch:96 train_loss:0.00809901300817728 test_acc:0.838 test_loss:0.01350415125489235
epoch:97 train_loss:0.011030432768166065 test_acc:0.8208 test_loss:0.01742013730108738
epoch:98 train_loss:0.008742934092879295 test_acc:0.8276 test_loss:0.009746955707669258
epoch:99 train_loss:0.007506655529141426 test_acc:0.8286 test_loss:0.02760196104645729
epoch:100 train_loss:0.004803781397640705 test_acc:0.8368 test_loss:0.015986192971467972
epoch:101 train_loss:0.00682612881064415 test_acc:0.834 test_loss:0.015957163646817207
epoch:102 train_loss:0.008694609627127647 test_acc:0.8102 test_loss:0.004701484460383654
epoch:103 train_loss:0.007453723810613155 test_acc:0.8406 test_loss:0.06768278777599335
epoch:104 train_loss:0.00967043824493885 test_acc:0.8362 test_loss:0.021119648590683937
epoch:105 train_loss:0.009648359380662441 test_acc:0.8306 test_loss:0.003367890138179064
epoch:106 train_loss:0.008478175848722458 test_acc:0.8358 test_loss:0.015050096437335014
epoch:107 train_loss:0.008393922820687294 test_acc:0.8328 test_loss:0.026925235986709595
epoch:108 train_loss:0.011917496100068092 test_acc:0.8322 test_loss:0.028680529445409775
epoch:109 train_loss:0.011332999914884567 test_acc:0.8114 test_loss:0.004973077680915594
epoch:110 train_loss:0.007688827347010374 test_acc:0.8308 test_loss:0.02404419519007206
epoch:111 train_loss:0.008561287075281143 test_acc:0.8448 test_loss:0.002573485719040036
epoch:112 train_loss:0.005785812623798847 test_acc:0.8312 test_loss:0.018267353996634483
epoch:113 train_loss:0.004915076773613691 test_acc:0.8202 test_loss:0.005576334428042173
epoch:114 train_loss:0.004755525849759579 test_acc:0.8276 test_loss:0.019111089408397675
