epoch:0 train_loss:0.07348030805587769 test_acc:0.0062 test_loss:0.14751403033733368
epoch:1 train_loss:0.05734375864267349 test_acc:0.167 test_loss:0.09345677495002747
epoch:2 train_loss:0.058205313980579376 test_acc:0.2958 test_loss:0.05660388991236687
epoch:3 train_loss:0.038256462663412094 test_acc:0.3042 test_loss:0.04444758966565132
epoch:4 train_loss:0.044072531163692474 test_acc:0.373 test_loss:0.05053040757775307
epoch:5 train_loss:0.03980144113302231 test_acc:0.6474 test_loss:0.04612787812948227
epoch:6 train_loss:0.029702290892601013 test_acc:0.5848 test_loss:0.022007890045642853
epoch:7 train_loss:0.0349481925368309 test_acc:0.604 test_loss:0.03940572217106819
epoch:8 train_loss:0.030349578708410263 test_acc:0.1144 test_loss:0.09237755835056305
epoch:9 train_loss:0.031961895525455475 test_acc:0.5862 test_loss:0.05078926682472229
epoch:10 train_loss:0.025157596915960312 test_acc:0.5422 test_loss:0.022553401067852974
epoch:11 train_loss:0.030456064268946648 test_acc:0.3162 test_loss:0.045677829533815384
epoch:12 train_loss:0.024754825979471207 test_acc:0.4668 test_loss:0.039094794541597366
epoch:13 train_loss:0.02485179714858532 test_acc:0.3438 test_loss:0.0693698301911354
epoch:14 train_loss:0.0229325033724308 test_acc:0.4098 test_loss:0.029762722551822662
epoch:15 train_loss:0.027958206832408905 test_acc:0.5502 test_loss:0.04510440304875374
epoch:16 train_loss:0.024131014943122864 test_acc:0.4934 test_loss:0.0650586411356926
epoch:17 train_loss:0.02240113355219364 test_acc:0.6028 test_loss:0.018335098400712013
epoch:18 train_loss:0.016572780907154083 test_acc:0.6324 test_loss:0.032863255590200424
epoch:19 train_loss:0.02423682063817978 test_acc:0.4648 test_loss:0.09251262247562408
epoch:20 train_loss:0.022754035890102386 test_acc:0.5312 test_loss:0.03692633658647537
epoch:21 train_loss:0.022943180054426193 test_acc:0.0332 test_loss:0.3410469591617584
epoch:22 train_loss:0.022016439586877823 test_acc:0.2042 test_loss:0.05292227119207382
epoch:23 train_loss:0.022236473858356476 test_acc:0.0124 test_loss:0.14065411686897278
epoch:24 train_loss:0.02197444811463356 test_acc:0.3612 test_loss:0.1142037957906723
epoch:25 train_loss:0.022431369870901108 test_acc:0.0924 test_loss:0.1035408154129982
epoch:26 train_loss:0.01543931569904089 test_acc:0.6856 test_loss:0.008673244155943394
epoch:27 train_loss:0.01847212389111519 test_acc:0.6504 test_loss:0.026821499690413475
epoch:28 train_loss:0.024479486048221588 test_acc:0.708 test_loss:0.02304484136402607
epoch:29 train_loss:0.023422932252287865 test_acc:0.6374 test_loss:0.015528094954788685
