epoch:0 train_loss:0.08569376915693283 test_acc:0.004 test_loss:0.15092624723911285
epoch:1 train_loss:0.0673711746931076 test_acc:0.011 test_loss:0.12831254303455353
epoch:2 train_loss:0.05282221734523773 test_acc:0.0348 test_loss:0.10662419348955154
epoch:3 train_loss:0.05373150110244751 test_acc:0.0726 test_loss:0.0992954820394516
epoch:4 train_loss:0.05215474218130112 test_acc:0.0994 test_loss:0.0741933062672615
epoch:5 train_loss:0.05254159867763519 test_acc:0.1576 test_loss:0.08525273948907852
epoch:6 train_loss:0.04685688018798828 test_acc:0.1944 test_loss:0.08247118443250656
epoch:7 train_loss:0.04402853175997734 test_acc:0.1226 test_loss:0.045258741825819016
epoch:8 train_loss:0.03926578164100647 test_acc:0.2212 test_loss:0.045524563640356064
epoch:9 train_loss:0.036592669785022736 test_acc:0.1894 test_loss:0.07625970244407654
epoch:10 train_loss:0.032288696616888046 test_acc:0.2332 test_loss:0.06959538161754608
epoch:11 train_loss:0.033770546317100525 test_acc:0.2124 test_loss:0.042456723749637604
epoch:12 train_loss:0.032835111021995544 test_acc:0.2194 test_loss:0.053191084414720535
epoch:13 train_loss:0.031618595123291016 test_acc:0.2904 test_loss:0.04865800589323044
epoch:14 train_loss:0.025496799498796463 test_acc:0.2598 test_loss:0.10320280492305756
epoch:15 train_loss:0.026389382779598236 test_acc:0.2814 test_loss:0.04598776623606682
epoch:16 train_loss:0.02269018441438675 test_acc:0.2734 test_loss:0.07535188645124435
epoch:17 train_loss:0.0314677432179451 test_acc:0.3604 test_loss:0.04358880594372749
epoch:18 train_loss:0.02584981732070446 test_acc:0.4138 test_loss:0.029662782326340675
epoch:19 train_loss:0.017292562872171402 test_acc:0.3828 test_loss:0.009692973457276821
epoch:20 train_loss:0.028300296515226364 test_acc:0.3682 test_loss:0.045917611569166183
epoch:21 train_loss:0.022636476904153824 test_acc:0.3696 test_loss:0.033215418457984924
epoch:22 train_loss:0.024757765233516693 test_acc:0.4178 test_loss:0.0178312286734581
epoch:23 train_loss:0.020765893161296844 test_acc:0.4648 test_loss:0.06540744751691818
epoch:24 train_loss:0.026117563247680664 test_acc:0.4574 test_loss:0.032792121171951294
epoch:25 train_loss:0.01744825951755047 test_acc:0.497 test_loss:0.01139099057763815
epoch:26 train_loss:0.020759671926498413 test_acc:0.5418 test_loss:0.03165063634514809
epoch:27 train_loss:0.016331568360328674 test_acc:0.5248 test_loss:0.0453440360724926
epoch:28 train_loss:0.017596591264009476 test_acc:0.5114 test_loss:0.029107222333550453
epoch:29 train_loss:0.023208588361740112 test_acc:0.5472 test_loss:0.012835466302931309
epoch:30 train_loss:0.018371183425188065 test_acc:0.474 test_loss:0.014756066724658012
epoch:31 train_loss:0.01592148467898369 test_acc:0.5902 test_loss:0.00821781251579523
epoch:32 train_loss:0.016900384798645973 test_acc:0.5832 test_loss:0.05841575935482979
epoch:33 train_loss:0.015931732952594757 test_acc:0.6144 test_loss:0.01092545036226511
epoch:34 train_loss:0.01640957035124302 test_acc:0.5918 test_loss:0.030768219381570816
epoch:35 train_loss:0.022033724933862686 test_acc:0.6418 test_loss:0.009066213853657246
epoch:36 train_loss:0.017376236617565155 test_acc:0.6396 test_loss:0.04632654786109924
epoch:37 train_loss:0.01605755090713501 test_acc:0.6646 test_loss:0.03302774950861931
epoch:38 train_loss:0.014665129594504833 test_acc:0.6808 test_loss:0.017649253830313683
epoch:39 train_loss:0.012886101379990578 test_acc:0.6 test_loss:0.02028067596256733
epoch:40 train_loss:0.014810031279921532 test_acc:0.6588 test_loss:0.013454821892082691
epoch:41 train_loss:0.011651350185275078 test_acc:0.6616 test_loss:0.07169461250305176
epoch:42 train_loss:0.010867590084671974 test_acc:0.6434 test_loss:0.010296613909304142
epoch:43 train_loss:0.011736394837498665 test_acc:0.6488 test_loss:0.018351297825574875
epoch:44 train_loss:0.016726789996027946 test_acc:0.6806 test_loss:0.02967030741274357
epoch:45 train_loss:0.01399788074195385 test_acc:0.6324 test_loss:0.03784634545445442
epoch:46 train_loss:0.008416935801506042 test_acc:0.7174 test_loss:0.03189113736152649
epoch:47 train_loss:0.014454035088419914 test_acc:0.6658 test_loss:0.01596584916114807
epoch:48 train_loss:0.011360829696059227 test_acc:0.6438 test_loss:0.016006579622626305
epoch:49 train_loss:0.013668319210410118 test_acc:0.6888 test_loss:0.0021858729887753725
epoch:50 train_loss:0.01096285879611969 test_acc:0.6752 test_loss:0.007212277967482805
epoch:51 train_loss:0.01653475873172283 test_acc:0.6782 test_loss:0.06401333957910538
epoch:52 train_loss:0.007915858179330826 test_acc:0.6494 test_loss:0.01411295123398304
epoch:53 train_loss:0.012396405450999737 test_acc:0.7382 test_loss:0.01886470429599285
epoch:54 train_loss:0.011742852628231049 test_acc:0.6868 test_loss:0.07716590911149979
epoch:55 train_loss:0.009144446812570095 test_acc:0.68 test_loss:0.044030629098415375
epoch:56 train_loss:0.008405415341258049 test_acc:0.6752 test_loss:0.025287294760346413
