epoch:0 train_loss:0.07095004618167877 test_acc:0.0072 test_loss:0.1353568136692047
epoch:1 train_loss:0.05874941870570183 test_acc:0.1358 test_loss:0.09399875998497009
epoch:2 train_loss:0.0507463738322258 test_acc:0.3582 test_loss:0.05065208300948143
epoch:3 train_loss:0.046942081302404404 test_acc:0.285 test_loss:0.08524303883314133
epoch:4 train_loss:0.03651397302746773 test_acc:0.4794 test_loss:0.0389159731566906
epoch:5 train_loss:0.04074187949299812 test_acc:0.2688 test_loss:0.13685503602027893
epoch:6 train_loss:0.03423532843589783 test_acc:0.5542 test_loss:0.050426412373781204
epoch:7 train_loss:0.03287976235151291 test_acc:0.3622 test_loss:0.019155701622366905
epoch:8 train_loss:0.03115249052643776 test_acc:0.4292 test_loss:0.06740470975637436
epoch:9 train_loss:0.0328713096678257 test_acc:0.6462 test_loss:0.03660910204052925
epoch:10 train_loss:0.026701360940933228 test_acc:0.5332 test_loss:0.027122491970658302
epoch:11 train_loss:0.02728857845067978 test_acc:0.6468 test_loss:0.025539841502904892
epoch:12 train_loss:0.02715211920440197 test_acc:0.6828 test_loss:0.02723783254623413
epoch:13 train_loss:0.02952471561729908 test_acc:0.383 test_loss:0.042473841458559036
epoch:14 train_loss:0.027853626757860184 test_acc:0.7118 test_loss:0.04663180932402611
epoch:15 train_loss:0.028307083994150162 test_acc:0.6496 test_loss:0.033520281314849854
epoch:16 train_loss:0.025054413825273514 test_acc:0.576 test_loss:0.046890825033187866
epoch:17 train_loss:0.029163537546992302 test_acc:0.6744 test_loss:0.02272341586649418
epoch:18 train_loss:0.019421447068452835 test_acc:0.5332 test_loss:0.020384367555379868
epoch:19 train_loss:0.023502914234995842 test_acc:0.6986 test_loss:0.010794988833367825
